Detuning_Normalizado,Probabilidade_P2
-1.605456453305351516e+01,2.175031135216550697e-04
-1.601259181532004305e+01,2.135408841461843986e-04
-1.597061909758656917e+01,2.104137893013649692e-04
-1.592864637985309351e+01,2.081954714937933571e-04
-1.588667366211962140e+01,2.068956361074452994e-04
-1.584470094438614929e+01,2.064627915224082207e-04
-1.580272822665267540e+01,2.068035117788981825e-04
-1.576075550891920152e+01,2.078138343613159292e-04
-1.571878279118572941e+01,2.094148320463125974e-04
-1.567681007345225730e+01,2.115828699431940416e-04
-1.563483735571878341e+01,2.143661052158120426e-04
-1.559286463798530775e+01,2.178822294732689715e-04
-1.555089192025183564e+01,2.222974273136493794e-04
-1.550891920251836353e+01,2.277916933417136879e-04
-1.546694648478488965e+01,2.345195699136687025e-04
-1.542497376705141576e+01,2.425768929096051580e-04
-1.538300104931794365e+01,2.519827534762721392e-04
-1.534102833158447154e+01,2.626818949459955267e-04
-1.529905561385099588e+01,2.745672097248861416e-04
-1.525708289611752200e+01,2.875164006623291365e-04
-1.521511017838404989e+01,3.014328035422908893e-04
-1.517313746065057778e+01,3.162790202217932462e-04
-1.513116474291710389e+01,3.320938339487061459e-04
-1.508919202518363001e+01,3.489874284664146219e-04
-1.504721930745015790e+01,3.671159824085213925e-04
-1.500524658971668579e+01,3.866425742614863748e-04
-1.496327387198321013e+01,4.076953380282502667e-04
-1.492130115424973624e+01,4.303347747633312799e-04
-1.487932843651626413e+01,4.545397113473232287e-04
-1.483735571878279202e+01,4.802162252786752153e-04
-1.479538300104931814e+01,5.072273460056990957e-04
-1.475341028331584425e+01,5.354353358697418620e-04
-1.471143756558237214e+01,5.647445785207509976e-04
-1.466946484784890004e+01,5.951326873758279760e-04
-1.462749213011542437e+01,6.266605780425511286e-04
-1.458551941238195049e+01,6.594580999773659320e-04
-1.454354669464847838e+01,6.936887699892697488e-04
-1.450157397691500627e+01,7.295032236863828370e-04
-1.445960125918153238e+01,7.669944428771353646e-04
-1.441762854144805672e+01,8.061675910979955234e-04
-1.437565582371458461e+01,8.469333914208269747e-04
-1.433368310598111250e+01,8.891274575280030869e-04
-1.429171038824763862e+01,9.325506573268035372e-04
-1.424973767051416473e+01,9.770195260645712226e-04
-1.420776495278069262e+01,1.022412701480407285e-03
-1.416579223504722052e+01,1.068700240305462713e-03
-1.412381951731374663e+01,1.115947298365993533e-03
-1.408184679958027097e+01,1.164290753059426782e-03
-1.403987408184679886e+01,1.213894934265004636e-03
-1.399790136411332675e+01,1.264898562845846513e-03
-1.395592864637985286e+01,1.317367577980785688e-03
-1.391395592864637898e+01,1.371267005600572755e-03
-1.387198321091290687e+01,1.426459781596180719e-03
-1.383001049317943476e+01,1.482732952291865866e-03
-1.378803777544595910e+01,1.539844035368851576e-03
-1.374606505771248521e+01,1.597574692516271150e-03
-1.370409233997901310e+01,1.655776833608150252e-03
-1.366211962224554100e+01,1.714398416411702869e-03
-1.362014690451206711e+01,1.773481917623008974e-03
-1.357817418677859322e+01,1.833136111583869715e-03
-1.353620146904512112e+01,1.893489234493902964e-03
-1.349422875131164901e+01,1.954636735987545695e-03
-1.345225603357817334e+01,2.016598195405894679e-03
-1.341028331584469946e+01,2.079295247868089436e-03
-1.336831059811122735e+01,2.142556334901145765e-03
-1.332633788037775524e+01,2.206146505063611134e-03
-1.328436516264428136e+01,2.269813506821730716e-03
-1.324239244491080569e+01,2.333337007618273198e-03
-1.320041972717733358e+01,2.396567151169259891e-03
-1.315844700944386148e+01,2.459441946302147897e-03
-1.311647429171038759e+01,2.521979167287692093e-03
-1.307450157397691370e+01,2.584245726818402110e-03
-1.303252885624344160e+01,2.646313766048363596e-03
-1.299055613850996949e+01,2.708216222764555335e-03
-1.294858342077649560e+01,2.769914446407505636e-03
-1.290661070304301994e+01,2.831286667219842009e-03
-1.286463798530954783e+01,2.892139956948907003e-03
-1.282266526757607572e+01,2.952241565809031552e-03
-1.278069254984260184e+01,3.011360133960567283e-03
-1.273871983210912795e+01,3.069304762132562484e-03
-1.269674711437565584e+01,3.125950924250907748e-03
-1.265477439664218373e+01,3.181246323851972136e-03
-1.261280167890870985e+01,3.235195755338191037e-03
-1.257082896117523418e+01,3.287830058179162709e-03
-1.252885624344176208e+01,3.339168611665263142e-03
-1.248688352570828997e+01,3.389186315281540220e-03
-1.244491080797481608e+01,3.437794311263788274e-03
-1.240293809024134219e+01,3.484839442018064937e-03
-1.236096537250787009e+01,3.530121928233276481e-03
-1.231899265477439798e+01,3.573425640294216384e-03
-1.227701993704092231e+01,3.614552065235465510e-03
