Detuning_Normalizado,Probabilidade_P2
-1.126967471143756505e+01,8.984462456692623306e-03
-1.122770199370409117e+01,9.465072774575443437e-03
-1.118572927597061906e+01,9.955335529246454873e-03
-1.114375655823714695e+01,1.045481278461154150e-02
-1.110178384050367129e+01,1.096408442750074555e-02
-1.105981112277019740e+01,1.148445050705548635e-02
-1.101783840503672529e+01,1.201742392363950099e-02
-1.097586568730325318e+01,1.256415312834898226e-02
-1.093389296956977930e+01,1.312493531811747063e-02
-1.089192025183630541e+01,1.369895672260050545e-02
-1.084994753410283330e+01,1.428433422151795251e-02
-1.080797481636936119e+01,1.487844885512019585e-02
-1.076600209863588553e+01,1.547848011798901718e-02
-1.072402938090241165e+01,1.608199321572269247e-02
-1.068205666316893954e+01,1.668741581617876751e-02
-1.064008394543546743e+01,1.729427088354322170e-02
-1.059811122770199354e+01,1.790309974168695015e-02
-1.055613850996851788e+01,1.851509577378773058e-02
-1.051416579223504577e+01,1.913154999539293244e-02
-1.047219307450157366e+01,1.975326246688504858e-02
-1.043022035676809978e+01,2.038008332889839486e-02
-1.038824763903462589e+01,2.101071138624704959e-02
-1.034627492130115378e+01,2.164280668975966312e-02
-1.030430220356768167e+01,2.227338649862519934e-02
-1.026232948583420779e+01,2.289939568095450406e-02
-1.022035676810073390e+01,2.351829480283708362e-02
-1.017838405036726002e+01,2.412850497890125720e-02
-1.013641133263378791e+01,2.472958883960351545e-02
-1.009443861490031402e+01,2.532212013339750142e-02
-1.005246589716684014e+01,2.590727991581886352e-02
-1.001049317943336803e+01,2.648629122718455797e-02
-9.968520461699894142e+00,2.705984642038431615e-02
-9.926547743966422033e+00,2.762768080766459661e-02
-9.884575026232948147e+00,2.818840405331183435e-02
-9.842602308499474262e+00,2.873962928285018342e-02
-9.800629590766002153e+00,2.927835950564451270e-02
-9.758656873032528267e+00,2.980152384714455926e-02
-9.716684155299054382e+00,3.030652009611636138e-02
-9.674711437565582273e+00,3.079162383472100126e-02
-9.632738719832110164e+00,3.125616529500106072e-02
-9.590766002098634502e+00,3.170044032077729695e-02
-9.548793284365160616e+00,3.212539253251900373e-02
-9.506820566631688507e+00,3.253216056013541468e-02
-9.464847848898216398e+00,3.292161251358761975e-02
-9.422875131164742513e+00,3.329398393388244282e-02
-9.380902413431268627e+00,3.364869940135267051e-02
-9.338929695697796518e+00,3.398440395636606604e-02
-9.296956977964324409e+00,3.429917476761717293e-02
-9.254984260230848747e+00,3.459084144533423888e-02
-9.213011542497374862e+00,3.485732516897165068e-02
-9.171038824763902753e+00,3.509691473479845114e-02
-9.129066107030430643e+00,3.530842629000741084e-02
-9.087093389296956758e+00,3.549123201761371360e-02
-9.045120671563481096e+00,3.564517886118843959e-02
-9.003147953830008987e+00,3.577044143014321970e-02
-8.961175236096536878e+00,3.586735875074206770e-02
-8.919202518363062993e+00,3.593629408328727348e-02
-8.877229800629589107e+00,3.597753727926367856e-02
-8.835257082896116998e+00,3.599124903371782314e-02
-8.793284365162644889e+00,3.597743365863714793e-02
-8.751311647429171003e+00,3.593592545855832376e-02
-8.709338929695695342e+00,3.586638207454991012e-02
-8.667366211962223232e+00,3.576829058493601748e-02
-8.625393494228751123e+00,3.564100117521569466e-02
-8.583420776495277238e+00,3.548380268019440259e-02
-8.541448058761803352e+00,3.529604229801976134e-02
-8.499475341028331243e+00,3.507727171704121127e-02
-8.457502623294859134e+00,3.482738173385626496e-02
-8.415529905561383472e+00,3.454667683475642903e-02
-8.373557187827909587e+00,3.423584771815900429e-02
-8.331584470094437478e+00,3.389582533362733158e-02
-8.289611752360965369e+00,3.352753933187357233e-02
-8.247639034627491483e+00,3.313164490953726671e-02
-8.205666316894017598e+00,3.270830972601485032e-02
-8.163693599160545489e+00,3.225715355143772556e-02
-8.121720881427073380e+00,3.177740129894102844e-02
-8.079748163693597718e+00,3.126824936248774611e-02
-8.037775445960123832e+00,3.072937088276451317e-02
-7.995802728226651723e+00,3.016142041480182612e-02
-7.953830010493179614e+00,2.956636632325366359e-02
-7.911857292759705729e+00,2.894749727944161480e-02
-7.869884575026230955e+00,2.830902123756921102e-02
-7.827911857292758846e+00,2.765528813194722407e-02
-7.785939139559286737e+00,2.698979281875294595e-02
-7.743966421825811963e+00,2.631421530328417399e-02
-7.701993704092338078e+00,2.562779544745083515e-02
-7.660020986358865969e+00,2.492729642146145411e-02
-7.618048268625393860e+00,2.420768421261430131e-02
-7.576075550891919086e+00,2.346346386066459205e-02
-7.534102833158445200e+00,2.269041264442913167e-02
-7.492130115424973091e+00,2.188729298352017766e-02
-7.450157397691500982e+00,2.105706570744481088e-02
-7.408184679958026209e+00,2.020718953982925808e-02
-7.366211962224552323e+00,1.934878466869583563e-02
-7.324239244491080214e+00,1.849472012552429503e-02
-7.282266526757608105e+00,1.765698884796707002e-02
-7.240293809024133331e+00,1.684397819749337138e-02
-7.198321091290658558e+00,1.605835140880935985e-02
-7.156348373557186449e+00,1.529617994980048135e-02
-7.114375655823714339e+00,1.454770665719914285e-02
-7.072402938090240454e+00,1.379972467883914047e-02
-7.030430220356765680e+00,1.303912081548823376e-02
-6.988457502623293571e+00,1.225676905409787791e-02
-6.946484784889821462e+00,1.145077867941404585e-02
-6.904512067156347577e+00,1.062817087956310566e-02
-6.862539349422872803e+00,9.804386112932553937e-03
-6.820566631689400694e+00,9.000549106394938048e-03
-6.778593913955928585e+00,8.239015966209265948e-03
-6.736621196222454699e+00,7.538242229445584613e-03
-6.694648478488979926e+00,6.908292167953432317e-03
-6.652675760755507817e+00,6.348257404371024024e-03
-6.610703043022035708e+00,5.846447755151530125e-03
-6.568730325288561822e+00,5.383535598171898355e-03
-6.526757607555087048e+00,4.938037813713784877e-03
-6.484784889821614939e+00,4.492815991176137523e-03
-6.442812172088142830e+00,4.040871267016856241e-03
-6.400839454354668057e+00,3.588748052490988664e-03
-6.358866736621194171e+00,3.156375695832513463e-03
-6.316894018887722062e+00,2.773073525140527448e-03
-6.274921301154249953e+00,2.470509970824343732e-03
-6.232948583420775179e+00,2.274357023608143506e-03
-6.190975865687301294e+00,2.196934639456128019e-03
-6.149003147953829185e+00,2.233094165173689100e-03
-6.107030430220357076e+00,2.360890892559175044e-03
-6.065057712486882302e+00,2.547368802814694005e-03
-6.023084994753408417e+00,2.758316561208481836e-03
-5.981112277019936307e+00,2.969547086625702170e-03
-5.939139559286464198e+00,3.176501260032984705e-03
-5.897166841552989425e+00,3.399067650771177371e-03
-5.855194123819514651e+00,3.679526646855247989e-03
-5.813221406086042542e+00,4.073294929765154497e-03
-5.771248688352570433e+00,4.634250482241864845e-03
-5.729275970619096547e+00,5.398291311594097253e-03
-5.687303252885621774e+00,6.369843356919168732e-03
-5.645330535152149665e+00,7.515858479982272071e-03
-5.603357817418677556e+00,8.770303106390132941e-03
-5.561385099685203670e+00,1.004947964615305646e-02
-5.519412381951728896e+00,1.127535369847162960e-02
-5.477439664218256787e+00,1.240122561183605240e-02
-5.435466946484784678e+00,1.343246130624187532e-02
-5.393494228751310793e+00,1.443524483483268374e-02
-5.351521511017836019e+00,1.552865750213795748e-02
-5.309548793284363910e+00,1.685948199634709072e-02
-5.267576075550891801e+00,1.856407579990790313e-02
-5.225603357817417915e+00,2.072617177957122858e-02
-5.183630640083943142e+00,2.334218098000295782e-02
-5.141657922350471033e+00,2.630542306527960950e-02
-5.099685204616998924e+00,2.941726589286171312e-02
-5.057712486883524150e+00,3.242685320985481956e-02
-5.015739769150050265e+00,3.509325046938353149e-02
-4.973767051416578155e+00,3.725640093797757263e-02
-4.931794333683106046e+00,3.889841469501994359e-02
-4.889821615949631273e+00,4.017619809658340424e-02
-4.847848898216157387e+00,4.141113149169738800e-02
-4.805876180482685278e+00,4.303097009583889410e-02
-4.763903462749213169e+00,4.547153894711875727e-02
-4.721930745015738395e+00,4.905817992097136204e-02
-4.679958027282264510e+00,5.389588496562766617e-02
-4.637985309548792401e+00,5.979960838650227872e-02
-4.596012591815320292e+00,6.629066177618431199e-02
-4.554039874081845518e+00,7.267157001007709671e-02
-4.512067156348371633e+00,7.817269846232074992e-02
-4.470094438614899524e+00,8.214360808504390932e-02
-4.428121720881427414e+00,8.424571352468505914e-02
-4.386149003147952641e+00,8.459540547160844526e-02
-4.344176285414477867e+00,8.381171061305048298e-02
-4.302203567681005758e+00,8.294038622034105579e-02
-4.260230849947533649e+00,8.325433264513439069e-02
-4.218258132214059763e+00,8.596251742357507997e-02
-4.176285414480584990e+00,9.188840879331819367e-02
-4.134312696747112881e+00,1.011961686335984545e-01
-4.092339979013640772e+00,1.132423747537299186e-01
-4.050367261280166886e+00,1.266103917538558277e-01
-4.008394543546692113e+00,1.393461454750468398e-01
-3.966421825813220003e+00,1.493653626531423473e-01
-3.924449108079747894e+00,1.549543805920441941e-01
-3.882476390346273565e+00,1.552517936118061326e-01
-3.840503672612799235e+00,1.505871674986579978e-01
-3.798530954879327126e+00,1.425718393880147927e-01
-3.756558237145855017e+00,1.338846374794437910e-01
-3.714585519412380687e+00,1.277639317218309811e-01
-3.672612801678906358e+00,1.272921719640416061e-01
-3.630640083945434249e+00,1.346219879738544123e-01
-3.588667366211962140e+00,1.503267519634947647e-01
-3.546694648478487810e+00,1.730511552427231869e-01
-3.504721930745013481e+00,1.995855894430046129e-01
-3.462749213011541372e+00,2.253994216156176011e-01
-3.420776495278069262e+00,2.455601737213124469e-01
-3.378803777544594489e+00,2.558625885716823145e-01
-3.336831059811120159e+00,2.539195715248095953e-01
-3.294858342077648050e+00,2.399472956376811072e-01
-3.252885624344175941e+00,2.170200767959187538e-01
-3.210912906610701611e+00,1.906733648064184439e-01
-3.168940188877227282e+00,1.678767777094629099e-01
-3.126967471143755173e+00,1.555529640879906306e-01
-3.084994753410283064e+00,1.589459239074122732e-01
-3.043022035676808734e+00,1.802105549502794335e-01
-3.001049317943334405e+00,2.175810207041853073e-01
-2.959076600209862296e+00,2.653741788832278958e-01
-2.917103882476390186e+00,3.149115321963324443e-01
-2.875131164742915857e+00,3.562335230340137326e-01
-2.833158447009441527e+00,3.802802338818295214e-01
-2.791185729275969418e+00,3.810714122404225135e-01
-2.749213011542497309e+00,3.573753426408081690e-01
-2.707240293809022535e+00,3.134296559330248533e-01
-2.665267576075548206e+00,2.584606139150426585e-01
-2.623294858342076097e+00,2.050067733359679512e-01
-2.581322140608603988e+00,1.663332379784002724e-01
-2.539349422875129658e+00,1.534593694287707810e-01
-2.497376705141655329e+00,1.724563218234429485e-01
-2.455403987408183220e+00,2.226612476121229423e-01
-2.413431269674711110e+00,2.962933784571789575e-01
-2.371458551941236781e+00,3.796695917105313844e-01
-2.329485834207762451e+00,4.558614499885783600e-01
-2.287513116474290342e+00,5.082903392257220876e-01
-2.245540398740818233e+00,5.245038243391462185e-01
-2.203567681007343904e+00,4.992805218749325480e-01
-2.161594963273869574e+00,4.363060631830004699e-01
-2.119622245540397465e+00,3.479399674145361998e-01
-2.077649527806925356e+00,2.530001026037398404e-01
-2.035676810073450582e+00,1.729417714194615985e-01
-1.993704092339976475e+00,1.272005155819719846e-01
-1.951731374606504366e+00,1.287069119138832818e-01
-1.909758656873032256e+00,1.806031944560800295e-01
-1.867785939139557705e+00,2.749775294942684023e-01
-1.825813221406083375e+00,3.940179697682368865e-01
-1.783840503672611266e+00,5.134587398469094843e-01
-1.741867785939139157e+00,6.076622703186720376e-01
-1.699895068205664828e+00,6.552732538257515227e-01
-1.657922350472190498e+00,6.441960611317671948e-01
-1.615949632738718389e+00,5.747380017020196075e-01
-1.573976915005246280e+00,4.601209138600208526e-01
-1.532004197271771728e+00,3.241227796258975280e-01
-1.490031479538297399e+00,1.962505892555726217e-01
-1.448058761804825290e+00,1.054226585477271438e-01
-1.406086044071353180e+00,7.351816795739125887e-02
-1.364113326337878851e+00,1.102385422948144456e-01
-1.322140608604404521e+00,2.104873830678444802e-01
-1.280167890870932412e+00,3.549542353626216062e-01
-1.238195173137460303e+00,5.138904422236587610e-01
-1.196222455403985752e+00,6.533450328100290916e-01
-1.154249737670511422e+00,7.425483019151225550e-01
-1.112277019937039313e+00,7.608275504094182962e-01
-1.070304302203567204e+00,7.024917911107769752e-01
-1.028331584470092874e+00,5.785298365324880177e-01
-9.863588667366184337e-01,4.146476501656409797e-01
-9.443861490031463246e-01,2.459796963152082738e-01
-9.024134312696742155e-01,1.095653832502386793e-01
-8.604407135361998860e-01,3.621251813395299363e-02
-8.184679958027254454e-01,4.354860016332592898e-02
-7.764952780692533363e-01,1.318382260481296975e-01
-7.345225603357812272e-01,2.835614554440371582e-01
-6.925498426023068976e-01,4.669273205463185805e-01
-6.505771248688324571e-01,6.426191377555477979e-01
-6.086044071353603480e-01,7.723310733513963910e-01
-5.666316894018882389e-01,8.272278816920073385e-01
-5.246589716684139093e-01,7.944442224524297380e-01
-4.826862539349395242e-01,6.801472358821003539e-01
-4.407135362014673596e-01,5.084312223452878143e-01
-3.987408184679952505e-01,3.162335357038575379e-01
-3.567681007345208655e-01,1.453512889713787781e-01
-3.147953830010465359e-01,3.329822592201545778e-02
-2.728226652675744268e-01,5.018809660838018799e-03
-2.308499475341022900e-01,6.730550599212790919e-02
-1.888772298006279049e-01,2.071793793183010768e-01
-1.469045120671535198e-01,3.946214504065846396e-01
-1.049317943336814107e-01,5.890765819936061298e-01
-6.295907660020930163e-02,7.483091631328699922e-01
-2.098635886673491657e-02,8.376603451641870812e-01
2.098635886673946502e-02,8.376602917587836483e-01
6.295907660021157759e-02,7.483090145578515928e-01
