Detuning_Normalizado,Probabilidade_P2
-1.115072933549432932e+01,5.563816890129193518e-03
-1.111831442463533293e+01,3.847518887481520423e-03
-1.108589951377633831e+01,2.453797223791967345e-03
-1.105348460291734192e+01,1.647311906514072402e-03
-1.102106969205834730e+01,1.568289129814500133e-03
-1.098865478119935268e+01,2.205975791612406912e-03
-1.095623987034035629e+01,3.403639383137611885e-03
-1.092382495948136345e+01,4.893539758207186841e-03
-1.089141004862236706e+01,6.354071272594505326e-03
-1.085899513776337244e+01,7.476785855558204692e-03
-1.082658022690437605e+01,8.029181099570721278e-03
-1.079416531604538143e+01,7.900313891525002213e-03
-1.076175040518638504e+01,7.120176137370982407e-03
-1.072933549432739042e+01,5.849471402736886559e-03
-1.069692058346839758e+01,4.342712949985554072e-03
-1.066450567260940119e+01,2.893078458695894518e-03
-1.063209076175040657e+01,1.771050215032107713e-03
-1.059967585089141018e+01,1.169823773909681956e-03
-1.056726094003241556e+01,1.168647286157744724e-03
-1.053484602917341917e+01,1.721120983204289280e-03
-1.050243111831442455e+01,2.669989998094404217e-03
-1.047001620745542994e+01,3.784320270874012328e-03
-1.043760129659643532e+01,4.810370903341965911e-03
-1.040518638573744070e+01,5.524915068378230196e-03
-1.037277147487844431e+01,5.779698297468147984e-03
-1.034035656401944969e+01,5.528083219631081159e-03
-1.030794165316045330e+01,4.829114674403557975e-03
-1.027552674230146046e+01,3.829272609180370962e-03
-1.024311183144246407e+01,2.726935834771789229e-03
-1.021069692058346945e+01,1.728033781723237921e-03
-1.017828200972447306e+01,1.002817485874424276e-03
-1.014586709886547844e+01,6.529053646603437617e-04
-1.011345218800648382e+01,6.950266817023018767e-04
-1.008103727714748743e+01,1.063891361709193815e-03
-1.004862236628849459e+01,1.632304921536019806e-03
-1.001620745542949820e+01,2.242995458013878358e-03
-9.983792544570503580e+00,2.744406506482545156e-03
-9.951377633711507187e+00,3.022353874283882896e-03
-9.918962722852512570e+00,3.020923372519522618e-03
-9.886547811993516177e+00,2.748860008566837883e-03
-9.854132901134521560e+00,2.271231129811152136e-03
-9.821717990275528720e+00,1.689486923576504363e-03
-9.789303079416532327e+00,1.115432398923391468e-03
-9.756888168557537711e+00,6.455698764228577071e-04
-9.724473257698541317e+00,3.416420776183623866e-04
-9.692058346839546701e+00,2.212551521486816287e-04
-9.659643435980550308e+00,2.597414936252980997e-04
-9.627228525121557468e+00,4.016399869760462686e-04
-9.594813614262561074e+00,5.780062697363682733e-04
-9.562398703403566458e+00,7.247061232107539740e-04
-9.529983792544571841e+00,7.970768791770236868e-04
-9.497568881685575448e+00,7.777158944756360328e-04
-9.465153970826580831e+00,6.762418050551570383e-04
-9.432739059967584438e+00,5.220849959691577571e-04
-9.400324149108591598e+00,3.531102392561552106e-04
-9.367909238249595205e+00,2.037219582646980574e-04
-9.335494327390600589e+00,9.587835040358224097e-05
-9.303079416531604195e+00,3.527058530215773294e-05
-9.270664505672609579e+00,1.318839426208754801e-05
-9.238249594813614962e+00,1.281813507934469584e-05
-9.205834683954618569e+00,1.742354734028042160e-05
-9.173419773095625729e+00,1.741216204789797689e-05
-9.141004862236629336e+00,1.380730842257615624e-05
-9.108589951377634719e+00,1.695633165527495105e-05
-9.076175040518638326e+00,4.100107494197922681e-05
-9.043760129659643709e+00,9.618560304366645017e-05
-9.011345218800647316e+00,1.819783541258805681e-04
-8.978930307941652700e+00,2.839213050505182872e-04
-8.946515397082659860e+00,3.760499833001775460e-04
-8.914100486223663466e+00,4.289262638679691882e-04
-8.881685575364668850e+00,4.213079757800947426e-04
-8.849270664505672457e+00,3.518715602118782084e-04
-8.816855753646677840e+00,2.467638768808798604e-04
-8.784440842787681447e+00,1.594047859652907690e-04
-8.752025931928688607e+00,1.608563919647857353e-04
-8.719611021069692214e+00,3.218021501057808796e-04
-8.687196110210697597e+00,6.900269141904446417e-04
-8.654781199351702980e+00,1.269421725285326333e-03
-8.622366288492706587e+00,2.007220982217445930e-03
-8.589951377633711971e+00,2.795002460403932850e-03
-8.557536466774715578e+00,3.486005240616694457e-03
-8.525121555915722737e+00,3.927123715385693638e-03
-8.492706645056726344e+00,3.999511096494534450e-03
-8.460291734197731728e+00,3.658263056977822773e-03
-8.427876823338735335e+00,2.960239163828135012e-03
-8.395461912479740718e+00,2.070398039746842306e-03
-8.363047001620746101e+00,1.241115446013298009e-03
-8.330632090761749708e+00,7.651386808735559462e-04
-8.298217179902756868e+00,9.097836915625955468e-04
-8.265802269043760475e+00,1.846007921101748247e-03
-8.233387358184765858e+00,3.589415087300576370e-03
-8.200972447325769465e+00,5.969839705235860383e-03
-8.168557536466774849e+00,8.641505575649252938e-03
-8.136142625607778456e+00,1.113745572329846549e-02
-8.103727714748783839e+00,1.296159832897550088e-02
-8.071312803889790999e+00,1.370159642215947222e-02
-8.038897893030794606e+00,1.313846140489923105e-02
-8.006482982171799989e+00,1.132623324774162388e-02
-7.974068071312803596e+00,8.618748095073330145e-03
-7.941653160453808979e+00,5.630077288032599332e-03
-7.909238249594813475e+00,3.129189682962709492e-03
-7.876823338735819746e+00,1.884930789888414598e-03
-7.844408427876824241e+00,2.491025977419718089e-03
-7.811993517017828736e+00,5.209067995530527323e-03
-7.779578606158833232e+00,9.867798384564517924e-03
-7.747163695299837727e+00,1.584847786404529682e-02
-7.714748784440842222e+00,2.216977422713815177e-02
-7.682333873581846717e+00,2.766432525780305671e-02
-7.649918962722853877e+00,3.121734996909740836e-02
-7.617504051863858372e+00,3.202034238128976390e-02
-7.585089141004862867e+00,2.978442173077820027e-02
-7.552674230145867362e+00,2.486116693291164081e-02
-7.520259319286871857e+00,1.823416401242909657e-02
-7.487844408427876353e+00,1.136974675026283105e-02
-7.455429497568880848e+00,5.945757486583885462e-03
-7.423014586709887119e+00,3.506238544011498672e-03
-7.390599675850892503e+00,5.111121855224904503e-03
-7.358184764991896998e+00,1.105772833592998453e-02
-7.325769854132901493e+00,2.074225249943752875e-02
-7.293354943273905988e+00,3.270483391359872011e-02
-7.260940032414910483e+00,4.486535216773369916e-02
-7.228525121555914978e+00,5.491577859260544231e-02
-7.196110210696921250e+00,6.079751107428701257e-02
-7.163695299837925745e+00,6.116721690584692173e-02
-7.131280388978930240e+00,5.574886885772233763e-02
-7.098865478119934735e+00,4.548576144538934302e-02
-7.066450567260940119e+00,3.244260764781093515e-02
