Detuning_Normalizado,Probabilidade_P2
-1.805510534846029103e+01,2.211559370109721177e-03
-1.802269043760129463e+01,2.610794543054171558e-03
-1.799027552674230535e+01,2.882480286103855215e-03
-1.795786061588330895e+01,2.976611524879008847e-03
-1.792544570502431256e+01,2.881271783582639232e-03
-1.789303079416531972e+01,2.630868883805377156e-03
-1.786061588330632333e+01,2.303868865367286658e-03
-1.782820097244732693e+01,2.009349992190231568e-03
-1.779578606158833054e+01,1.864407192105036089e-03
-1.776337115072933770e+01,1.966915396748618837e-03
-1.773095623987034131e+01,2.369773011340273270e-03
-1.769854132901134491e+01,3.063017589694742599e-03
-1.766612641815235207e+01,3.968946500167091877e-03
-1.763371150729335568e+01,4.952755105613647693e-03
-1.760129659643436284e+01,5.847737317369823551e-03
-1.756888168557536645e+01,6.490538790392134244e-03
-1.753646677471637361e+01,6.759154594693951058e-03
-1.750405186385737721e+01,6.605050629839917531e-03
-1.747163695299838082e+01,6.071394833154035268e-03
-1.743922204213938443e+01,5.291922603846755703e-03
-1.740680713128039159e+01,4.468988175170624660e-03
-1.737439222042139519e+01,3.834044130183041424e-03
-1.734197730956239880e+01,3.598102934635789060e-03
-1.730956239870340596e+01,3.902638102271355387e-03
-1.727714748784440957e+01,4.782103080546717955e-03
-1.724473257698541317e+01,6.147459061119246032e-03
-1.721231766612642033e+01,7.796040899095111470e-03
-1.717990275526742394e+01,9.447524346565962239e-03
-1.714748784440842755e+01,1.079985496706855307e-02
-1.711507293354943471e+01,1.159407938622199208e-02
-1.708265802269043832e+01,1.167426308882551361e-02
-1.705024311183144547e+01,1.102884815455037679e-02
-1.701782820097244908e+01,9.803045203816668218e-03
-1.698541329011345269e+01,8.277626909259159019e-03
-1.695299837925445985e+01,6.816653449710781409e-03
-1.692058346839546346e+01,5.793692310065479828e-03
-1.688816855753646706e+01,5.511418166167205562e-03
-1.685575364667747067e+01,6.131810528702590080e-03
-1.682333873581847783e+01,7.632823153214148351e-03
-1.679092382495948499e+01,9.802478647542762352e-03
-1.675850891410048860e+01,1.227374370883027761e-02
-1.672609400324149220e+01,1.459480471024636981e-02
-1.669367909238249581e+01,1.632135849922803847e-02
-1.666126418152350297e+01,1.711205732598303914e-02
-1.662884927066450658e+01,1.680662532281212984e-02
-1.659643435980551374e+01,1.546893481189440950e-02
-1.656401944894651734e+01,1.338409003795166738e-02
-1.653160453808752095e+01,1.100801582904646116e-02
-1.649918962722852811e+01,8.878244912623789453e-03
-1.646677471636953172e+01,7.503350029078611691e-03
-1.643435980551053532e+01,7.253810501589500262e-03
