Detuning_Normalizado,P2_Curva_A,P2_Curva_B
-1.836220472440944818e+01,6.178475418221402501e-04,9.390688856146888310e-04
-1.829921259842519632e+01,6.189710416026724315e-04,9.744727865447664825e-04
-1.823622047244094446e+01,6.190098921640108630e-04,9.696772182513921715e-04
-1.817322834645669261e+01,6.179635097150221624e-04,9.255340248694828758e-04
-1.811023622047244075e+01,6.158417258389085099e-04,8.616329419405693597e-04
-1.804724409448818889e+01,6.126549512640960512e-04,8.070300885659031226e-04
-1.798425196850393704e+01,6.084067698841425778e-04,7.859433323660863606e-04
-1.792125984251968518e+01,6.030921305236312422e-04,8.055318882589681791e-04
-1.785826771653543332e+01,5.967005783937093678e-04,8.520035393381423378e-04
-1.779527559055118147e+01,5.892218816704190886e-04,8.971928039959696250e-04
-1.773228346456692961e+01,5.806520732546218474e-04,9.124600198905197072e-04
-1.766929133858267775e+01,5.709998539787827483e-04,8.829783394759787695e-04
-1.760629921259842590e+01,5.602938384124966659e-04,8.151844764727135453e-04
-1.754330708661417404e+01,5.485889924075539482e-04,7.335786807979146002e-04
-1.748031496062992218e+01,5.359674511061281871e-04,6.684612835844112389e-04
-1.741732283464567033e+01,5.225283331978281291e-04,6.408193003997166492e-04
-1.735433070866141847e+01,5.083657797686087212e-04,6.520300426369743038e-04
-1.729133858267716661e+01,4.935429666930071357e-04,6.835618799889083040e-04
-1.722834645669291476e+01,4.780768654881555036e-04,7.067053649507375624e-04
-1.716535433070865935e+01,4.619477039860941784e-04,6.972329500833596367e-04
-1.710236220472441104e+01,4.451359425016216016e-04,6.474301857364246670e-04
-1.703937007874015919e+01,4.276726590294476936e-04,5.694252040512144328e-04
-1.697637795275590733e+01,4.096766194780199189e-04,4.883535634359786100e-04
-1.691338582677165192e+01,3.913527711907082199e-04,4.291807997998795714e-04
-1.685039370078740006e+01,3.729449148208294944e-04,4.041819277800599028e-04
-1.678740157480315176e+01,3.546617418230943648e-04,4.075120263448884128e-04
-1.672440944881889635e+01,3.366149045275815244e-04,4.193723237387650122e-04
-1.666141732283464449e+01,3.188066508986645941e-04,4.171466633147654398e-04
-1.659842519685039264e+01,3.011801714661638718e-04,3.873198617660503478e-04
-1.653543307086614433e+01,2.837100368653952369e-04,3.318571970185942195e-04
-1.647244094488188892e+01,2.664837501041613234e-04,2.659891266766321871e-04
-1.640944881889763707e+01,2.497260416122644433e-04,2.091254627191860207e-04
-1.634645669291338521e+01,2.337477177656520594e-04,1.742552138714978545e-04
-1.628346456692913335e+01,2.188448931972570904e-04,1.617132734981027069e-04
-1.622047244094488150e+01,2.052061965590792209e-04,1.604348992269546059e-04
-1.615748031496062964e+01,1.928841369338779653e-04,1.554418339016981870e-04
-1.609448818897637778e+01,1.818503833532156559e-04,1.368478390505895319e-04
-1.603149606299212593e+01,1.721034010143107358e-04,1.050821956844015385e-04
-1.596850393700787407e+01,1.637620354478927986e-04,6.955133159192825759e-05
-1.590551181102362044e+01,1.570836963172374311e-04,4.201422374227323838e-05
-1.584251968503937036e+01,1.523906238774218878e-04,2.908225521545100700e-05
-1.577952755905511850e+01,1.499466246489881104e-04,2.859731677767567222e-05
-1.571653543307086665e+01,1.498627016238791496e-04,3.202552318656313660e-05
-1.565354330708661301e+01,1.520978253556192622e-04,3.107458181924896922e-05
-1.559055118110236293e+01,1.565643037859540615e-04,2.397546311377868306e-05
-1.552755905511811108e+01,1.632786344751306011e-04,1.705220204835434755e-05
